,0
profitability_score,0.24047772086089633
revenue_growth_yoy,-0.2383299474470846
operating_margin_change,0.22578152347727704
operating_cash_flow_growth_yoy,0.20933595718585007
operating_income_growth_yoy,0.1829288727911135
debt_to_assets,-0.16767126223143955
gross_margin,-0.13426571837268717
growth_score_change,-0.12550769444425555
operating_cash_flow_growth_yoy_change,-0.11561404954563721
operating_income_growth_yoy_change,-0.11428285702568076
return_on_equity_change,-0.11251336493162294
gross_margin_change,-0.11092246225617754
growth_score,0.1100969602406732
r_and_d_intensity,0.10607124037641084
asset_turnover,0.10112540235936544
equity_ratio_change,-0.10016169839580613
leverage_score,-0.09931864722765965
return_on_assets_change,0.09604981514523468
ROIC,-0.08932429264725
capex_intensity,-0.08870296312878702
equity_ratio,-0.07605398619321972
efficiency_score,-0.06758882293451228
leverage_score_change,-0.06512490338102939
cash_to_assets,0.06260650826068169
profitability_score_change,-0.05866352672042169
return_on_equity,-0.051827557781845716
net_income_growth_yoy,-0.04863897260314898
investment_score,-0.04617302860013436
efficiency_score_change,-0.030577531732062613
cash_to_assets_change,0.02901451251390859
cash_flow_score,0.028704620873661647
r_and_d_intensity_change,-0.028085048563602336
return_on_assets,-0.028066677626172598
operative_score,-0.027410654386092113
asset_turnover_change,0.025754169965107866
cash_flow_score_change,-0.020798757899949876
operating_margin,-0.020781531163183976
revenue_growth_yoy_change,0.019241020347451974
ROIC_change,-0.017315401315349033
cash_conversion,-0.017262384872849024
debt_to_assets_change,0.015642896202879206
operative_score_change,-0.012210285091722712
operating_cash_flow_margin_change,-0.01034813661873567
capex_intensity_change,0.009911261512613631
cash_conversion_change,-0.006776450890300303
net_income_growth_yoy_change,0.0037886396239828896
operating_cash_flow_margin,-0.002987098469448113
investment_score_change,0.0006023595557197785
