n_train,train_rmse,val_rmse,train_spearman,val_spearman
119,1.7969746409666698,1.7985392972180851,0.5322176328158383,-0.008675182125893218
216,1.6729973935843807,1.8809214940687955,0.5973005156050917,-0.0980401443077823
313,1.5531760909725278,1.892439274935428,0.6250440255904124,0.0029460517335041995
410,1.5750274712921168,1.8343533878321903,0.6379053632593685,0.043428842055410845
507,1.600170198538504,1.813705557259221,0.7169835799783395,-0.0776545806577426
604,1.6847708611329695,1.859416737000226,0.680461193566947,-0.146149238762519
701,1.8693211328923078,1.8221437174490784,0.6472548025757727,-0.0961429705673413
799,1.8467726571771388,1.8175581384464872,0.6523441425842453,-0.09618336560293073
