n_train,train_rmse,val_rmse,train_spearman,val_spearman
119,1.65531635799223,5.9000489237606555,0.4980629539951574,0.08460113384686103
216,1.6563273040173434,2.8331535436654685,0.42654234987318257,-0.06903372289005585
313,1.6697780884185278,1.9270231099144002,0.3146084344421781,0.08143917761279267
410,1.67538658113979,1.888808940191175,0.27273779867525805,0.09751500884511985
507,1.73916643173351,1.8571441670624098,0.24367875297483177,0.0032914989344068196
604,1.821155211636617,1.9263361859365633,0.2654085491757457,-0.10258110348093771
701,2.0005049900788774,1.9188107309018687,0.2692019598724307,-0.10219804710896908
799,1.9774445151401745,1.9034625847057898,0.2399441971637479,-0.14868716134334387
